white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row
-2.2511580580349264,-0.9218571846641436,-1.1077842878099666,-0.6625554993099896,-0.8771285711063972,-1.0904949098248071
-2.2511580580349264,-0.9218571846641436,-0.6726364946480543,-1.5387176924020463,-0.8771285711063972,-1.0904949098248071
-2.2511580580349264,-0.9218571846641436,-0.6726364946480543,-1.5387176924020463,-0.44427274913072223,-1.5352661662946099
-2.2511580580349264,-0.9218571846641436,-0.6726364946480543,-1.5387176924020463,-0.44427274913072223,-1.0904949098248071
-2.2511580580349264,-0.9218571846641436,-0.6726364946480543,-1.1006365958560178,-0.8771285711063972,-1.5352661662946099
-2.2511580580349264,-0.9218571846641436,-0.6726364946480543,-1.1006365958560178,-0.8771285711063972,-0.6457236533550045
-2.2511580580349264,-0.9218571846641436,-0.6726364946480543,-1.1006365958560178,-0.44427274913072223,-1.5352661662946099
-2.2511580580349264,-0.9218571846641436,-0.6726364946480543,-1.1006365958560178,-0.44427274913072223,-1.0904949098248071
-2.2511580580349264,-0.9218571846641436,-0.6726364946480543,-1.1006365958560178,-0.44427274913072223,-0.6457236533550045
-2.2511580580349264,-0.9218571846641436,-0.6726364946480543,-0.6625554993099896,-0.8771285711063972,-1.0904949098248071
-2.2511580580349264,-0.9218571846641436,-0.6726364946480543,-0.6625554993099896,-0.44427274913072223,-1.0904949098248071
-2.2511580580349264,-0.9218571846641436,-0.6726364946480543,-0.6625554993099896,-0.44427274913072223,-0.6457236533550045
-2.2511580580349264,-0.9218571846641436,-0.6726364946480543,-0.6625554993099896,-0.44427274913072223,-0.20095239688520172
-2.2511580580349264,-0.9218571846641436,-0.6726364946480543,-0.22447440276396136,-0.44427274913072223,-0.6457236533550045
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-1.5387176924020463,-0.8771285711063972,-1.5352661662946099
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-1.5387176924020463,-0.8771285711063972,-1.0904949098248071
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-1.5387176924020463,-0.44427274913072223,-1.0904949098248071
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-1.5387176924020463,-0.011416927155047203,-1.5352661662946099
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-1.5387176924020463,-0.011416927155047203,-1.0904949098248071
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-1.1006365958560178,-0.8771285711063972,-1.5352661662946099
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-1.1006365958560178,-0.8771285711063972,-1.0904949098248071
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-1.1006365958560178,-0.8771285711063972,-0.6457236533550045
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-1.1006365958560178,-0.44427274913072223,-1.5352661662946099
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-1.1006365958560178,-0.44427274913072223,-0.6457236533550045
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-1.1006365958560178,-0.011416927155047203,-1.5352661662946099
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-1.1006365958560178,-0.011416927155047203,-1.0904949098248071
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-1.1006365958560178,-0.011416927155047203,-0.6457236533550045
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-0.6625554993099896,-0.8771285711063972,-1.0904949098248071
-2.2511580580349264,-0.9218571846641436,-0.23748870148614196,-0.6625554993099896,-0.8771285711063972,-0.6457236533550045
